[PSP] Clase 1,15/09/2021,15/09/2021,20:00,21:30,
[PSP] Clase 2,22/09/2021,22/09/2021,20:00,21:30,
[PSP] Clase 3,29/09/2021,29/09/2021,20:00,21:30,
[PSP] Clase 4,06/10/2021,06/10/2021,20:00,21:30,
[PSP] Clase 5,13/10/2021,13/10/2021,20:00,21:30,
[PSP] Clase 6,20/10/2021,20/10/2021,20:00,21:30,
[PSP] Clase 7,27/10/2021,27/10/2021,20:00,21:30,
[PSP] Clase 8,03/11/2021,03/11/2021,20:00,21:30,
[PSP] Clase 9,10/11/2021,10/11/2021,20:00,21:30,
[PSP] Clase 10,17/11/2021,17/11/2021,20:00,21:30,
[PSP] Clase 11,24/11/2021,24/11/2021,20:00,21:30,
[PSP] Clase 12,29/11/2021,29/11/2021,20:00,21:30,
[PSP] Clase 13,01/12/2021,01/12/2021,20:00,21:30,
[PSP] Clase 14,22/12/2021,22/12/2021,20:00,21:30,
[PSP] Clase 15,12/01/2022,12/01/2022,20:00,21:30,
[PSP] Clase 16,19/01/2022,19/01/2022,20:00,21:30,
[PSP] Clase 17,26/01/2022,26/01/2022,20:00,21:30,
[PSP] Clase 18,02/02/2022,02/02/2022,20:00,21:30,
[PSP] Clase 19,09/02/2022,09/02/2022,20:00,21:30,
[DI] Clase 1,15/09/2021,15/09/2021,21:30,23:00,
[DI] Clase 2,22/09/2021,22/09/2021,21:30,23:00,
[DI] Clase 3,29/09/2021,29/09/2021,21:30,23:00,
[DI] Clase 4,06/10/2021,06/10/2021,21:30,23:00,
[DI] Clase 5,13/10/2021,13/10/2021,21:30,23:00,
[DI] Clase 6,20/10/2021,20/10/2021,21:30,23:00,
[DI] Clase 7,27/10/2021,27/10/2021,21:30,23:00,
[DI] Clase 8,03/11/2021,03/11/2021,21:30,23:00,
[DI] Clase 9,10/11/2021,10/11/2021,21:30,23:00,
[DI] Clase 10,17/11/2021,17/11/2021,21:30,23:00,
[DI] Clase 11,24/11/2021,24/11/2021,21:30,23:00,
[DI] Clase 12,29/11/2021,29/11/2021,21:30,23:00,
[DI] Clase 13,01/12/2021,01/12/2021,21:30,23:00,
[DI] Clase 14,22/12/2021,22/12/2021,21:30,23:00,
[DI] Clase 15,12/01/2022,12/01/2022,21:30,23:00,
[DI] Clase 16,19/01/2022,19/01/2022,21:30,23:00,
[DI] Clase 17,26/01/2022,26/01/2022,21:30,23:00,
[DI] Clase 18,02/02/2022,02/02/2022,21:30,23:00,
[DI] Clase 19,09/02/2022,09/02/2022,21:30,23:00,
[AD] Clase 1,16/09/2021,16/09/2021,21:30,23:00,
[AD] Clase 2,23/09/2021,23/09/2021,21:30,23:00,
[AD] Clase 3,30/09/2021,30/09/2021,21:30,23:00,
[AD] Clase 4,07/10/2021,07/10/2021,21:30,23:00,
[AD] Clase 5,14/10/2021,14/10/2021,21:30,23:00,
[AD] Clase 6,21/10/2021,21/10/2021,21:30,23:00,
[AD] Clase 7,28/10/2021,28/10/2021,21:30,23:00,
[AD] Clase 8,04/11/2021,04/11/2021,21:30,23:00,
[AD] Clase 9,11/11/2021,11/11/2021,21:30,23:00,
[AD] Clase 10,18/11/2021,18/11/2021,21:30,23:00,
[AD] Clase 11,25/11/2021,25/11/2021,21:30,23:00,
[AD] Clase 12,02/12/2021,02/12/2021,21:30,23:00,
[AD] Clase 13,09/12/2021,09/12/2021,21:30,23:00,
[AD] Clase 14,23/12/2021,23/12/2021,21:30,23:00,
[AD] Clase 15,13/01/2022,13/01/2022,21:30,23:00,
[AD] Clase 16,20/01/2022,20/01/2022,21:30,23:00,
[AD] Clase 17,27/01/2022,27/01/2022,21:30,23:00,
[AD] Clase 18,03/02/2022,03/02/2022,21:30,23:00,
[AD] Clase 19,10/02/2022,10/02/2022,21:30,23:00,
[SGE] Clase 1,16/09/2021,16/09/2021,20:00,21:30,
[SGE] Clase 2,23/09/2021,23/09/2021,20:00,21:30,
[SGE] Clase 3,30/09/2021,30/09/2021,20:00,21:30,
[SGE] Clase 4,07/10/2021,07/10/2021,20:00,21:30,
[SGE] Clase 5,14/10/2021,14/10/2021,20:00,21:30,
[SGE] Clase 6,21/10/2021,21/10/2021,20:00,21:30,
[SGE] Clase 7,28/10/2021,28/10/2021,20:00,21:30,
[SGE] Clase 8,04/11/2021,04/11/2021,20:00,21:30,
[SGE] Clase 9,11/11/2021,11/11/2021,20:00,21:30,
[SGE] Clase 10,18/11/2021,18/11/2021,20:00,21:30,
[SGE] Clase 11,25/11/2021,25/11/2021,20:00,21:30,
[SGE] Clase 12,02/12/2021,02/12/2021,20:00,21:30,
[SGE] Clase 13,09/12/2021,09/12/2021,20:00,21:30,
[SGE] Clase 14,23/12/2021,23/12/2021,20:00,21:30,
[SGE] Clase 15,13/01/2022,13/01/2022,20:00,21:30,
[SGE] Clase 16,20/01/2022,20/01/2022,20:00,21:30,
[SGE] Clase 17,27/01/2022,27/01/2022,20:00,21:30,
[SGE] Clase 18,03/02/2022,03/02/2022,20:00,21:30,
[SGE] Clase 19,10/02/2022,10/02/2022,20:00,21:30,
[PMDM] Clase 1,21/09/2021,21/09/2021,21:30,23:00,
[PMDM] Clase 2,27/09/2021,27/09/2021,21:30,23:00,
[PMDM] Clase 3,28/09/2021,28/09/2021,21:30,23:00,
[PMDM] Clase 4,05/10/2021,05/10/2021,21:30,23:00,
[PMDM] Clase 5,18/10/2021,18/10/2021,21:30,23:00,
[PMDM] Clase 6,19/10/2021,19/10/2021,21:30,23:00,
[PMDM] Clase 7,26/10/2021,26/10/2021,21:30,23:00,
[PMDM] Clase 8,02/11/2021,02/11/2021,21:30,23:00,
[PMDM] Clase 9,09/11/2021,09/11/2021,21:30,23:00,
[PMDM] Clase 10,16/11/2021,16/11/2021,21:30,23:00,
[PMDM] Clase 11,22/11/2021,22/11/2021,21:30,23:00,
[PMDM] Clase 12,23/11/2021,23/11/2021,21:30,23:00,
[PMDM] Clase 13,30/11/2021,30/11/2021,21:30,23:00,
[PMDM] Clase 14,21/12/2021,21/12/2021,21:30,23:00,
[PMDM] Clase 15,11/01/2022,11/01/2022,21:30,23:00,
[PMDM] Clase 16,18/01/2022,18/01/2022,21:30,23:00,
[PMDM] Clase 17,25/01/2022,25/01/2022,21:30,23:00,
[PMDM] Clase 18,01/02/2022,01/02/2022,21:30,23:00,
[PMDM] Clase 19,08/02/2022,08/02/2022,21:30,23:00,
